Date,Time,Artist,Title
2025-05-23,00:00,August Høyen,Gav det et skud
2025-05-23,00:00,Natasja,Op med ho'det
2025-05-23,00:00,Miley Cyrus,End Of The World
2025-05-23,00:00,Saint clara,How I Love You
2025-05-23,00:00,"Philip Bailey, Phil Collins",Easy Lover
2025-05-23,00:00,Alphabeat,Fascination
2025-05-23,00:00,"Zayn Malik, Sia",Dusk Till Dawn
2025-05-23,00:00,Kate Bush,Running Up That Hill (A Deal With God)
2025-05-23,00:00,Jonah Blacksmith,Up
2025-05-23,00:00,"Svea S, Burhan G",Det ønsker jeg for dig
2025-05-23,00:00,Thomas Helmig,Gold Digger
2025-05-23,00:00,Rasmus Walter,Heart Of Stone
2025-05-23,00:00,Benson Boone,Sorry I'm Here For Someone Else
2025-05-23,00:00,Swan Lee,Tomorrow Never Dies
2025-05-23,00:00,"Kind Mod Kind, Medina",Love Isn't Easy
2025-05-23,00:00,Alex Warren,Ordinary
2025-05-23,00:00,Bruno Mars,Just The Way You Are
2025-05-23,00:00,Andreas Odbjerg,smugryger
2025-05-23,00:00,KRYD,Ikke nogens mere
2025-05-23,00:00,Depeche Mode,Policy Of Truth
2025-05-23,00:00,Dasha,Not At This Party
2025-05-23,00:00,Hugo Helmig,Please Don't Lie
2025-05-23,00:00,Sabrina Carpenter,Busy Woman
2025-05-23,00:00,Robbie Williams,Love My Life
2025-05-23,00:00,Michael Jackson,Man In The Mirror
2025-05-23,00:00,Shaboozey,A Bar Song (Tipsy)
2025-05-23,00:00,Sophie Ellis-Bextor,Murder On The Dancefloor
2025-05-23,00:00,Stromae,Alors On Danse
2025-05-23,00:00,The Cranberries,Ode To My Family
2025-05-23,00:00,Pil,Gangen
2025-05-23,00:00,Beyoncé,Love On Top
2025-05-23,00:00,Annika Aakjær,POP
2025-05-23,00:00,Malte Ebert,Er det mig du elsker?
2025-05-23,00:00,"Marshmello, P!nk, Sting",Dreaming
2025-05-23,00:00,George Michael,Faith
2025-05-23,00:00,Rasmus Seebach,Falder
2025-05-23,00:00,Nik & Jay,Hot
2025-05-23,00:00,Damiano David,Born With A Broken Heart
2025-05-23,00:00,Ganger,Elsker dig for evigt
2025-05-23,00:00,Suede,Beautiful Ones
2025-05-23,00:00,Drew Sycamore,Change The World
2025-05-23,00:00,Taylor Swift,Anti-Hero
2025-05-23,00:00,The Rumour Said Fire,The Balcony
2025-05-23,00:00,Blæst,Vi ku' gå hele vejen
2025-05-23,00:00,The Weeknd,Can't Feel My Face
2025-05-23,00:00,Hjalmer,Aldrig alene
2025-05-23,00:00,Train,Hey Soul Sister
2025-05-23,00:00,Lady Gaga,Abracadabra
2025-05-23,00:00,"Freddie Mercury, Montserrat Caballé",Barcelona
2025-05-23,00:00,Montserrat Caballé,Barcelona
2025-05-23,00:00,Chicago,If You Leave Me Now
2025-05-23,00:00,SASO,Held & Lykke
2025-05-23,00:00,Christian Juncker,Mogens og Karen
2025-05-23,00:00,Juncker,Mogens og Karen
2025-05-23,00:00,Nabiha,Mind The Gap
2025-05-23,00:00,Ed Sheeran,Azizam
2025-05-23,00:00,Scarlet Pleasure,Summertime
2025-05-23,00:00,Oasis,Champagne Supernova
2025-05-23,00:00,Dodo & The Dodo's,Giv mig hvad du har
2025-05-23,00:00,Mumford & Sons,Rushmere
2025-05-23,00:00,"Nephew, Marie Key",Gå med dig
2025-05-23,00:00,"MØ, Diplo",Sun In Our Eyes
2025-05-23,00:00,Cian Ducrot,Heaven
2025-05-23,00:00,Tina Dickow,Adams House
2025-05-23,00:00,NOAH,Før vi falder
2025-05-23,00:00,KRYD,Skriv det på min gravsten
2025-05-23,00:00,Sheryl Crow,Soak Up The Sun
2025-05-23,00:00,Shaka Loveless,Dengang du græd
2025-05-23,00:00,Anne Linnet Band,Venus
2025-05-23,00:00,"Marquis de Sade, Anne Linnet",Venus
2025-05-23,00:00,Sabrina Carpenter,Espresso
2025-05-23,00:00,All Saints,Pure Shores
2025-05-23,00:00,Christian Hjelm,Sjældne syner
2025-05-23,00:00,Kings Of Leon,Sex On Fire
2025-05-23,00:00,Kwamie Liv,New Boo
2025-05-23,00:00,Bifald,Tænker du mon nogensinde på os
2025-05-23,00:00,Mads Langer,3 AM
2025-05-23,00:00,Peter Sommer,Sand kærlighedshistorie
2025-05-23,00:00,Pil,Når jeg vågner II
2025-05-23,00:00,EYJAA,Big Feelings
2025-05-23,00:00,Harry Styles,Late Night Talking
2025-05-23,00:00,Jason Mraz,I'm Yours
2025-05-23,00:00,Marie Frank,Symptom Of My Time
2025-05-23,00:00,Back To Back,En elsker som dig
2025-05-23,00:00,Mumle,Et for dig
2025-05-23,00:00,Lukas Graham,You You You
2025-05-23,00:00,Roxette,It Must Have Been Love
2025-05-23,00:00,Calby,The Everyday Bit
2025-05-23,00:00,Christopher,ONE
2025-05-23,00:00,Aura,Song For Sophie
2025-05-23,00:00,Jonah Blacksmith,Yellow Bike
2025-05-23,00:00,Carly Rae Jepsen,Call Me Maybe
2025-05-23,00:00,Shawn Mendes,Why Why Why
2025-05-23,00:00,Medina,Når intet er godt nok
2025-05-23,00:00,Panic! At The Disco,High Hopes
2025-05-23,00:00,Christine Milton,Superstar
2025-05-23,00:00,"Hej Matematik, Ankerstjerne",Det blir en go dag
2025-05-23,00:00,D.A.D.,Sleeping My Day Away
2025-05-23,00:00,Basim,Johnny
2025-05-23,00:00,Counting Crows,Mr. Jones
2025-05-23,00:00,Soleima,Livet begynder
2025-05-23,00:00,John Mayer,Your Body Is A Wonderland
2025-05-23,00:00,Jada,I'm Back
2025-05-23,00:00,Vance Joy,Riptide
2025-05-23,00:00,Lucky Lo,Yes To Myself
2025-05-23,00:00,Carl Emil Petersen,Finale på et filmset
2025-05-23,00:00,Justin Timberlake,Can't Stop The Feeling
2025-05-23,00:00,Danser Med Piger,Kærlighed & krig
2025-05-23,00:00,Amy Winehouse,Rehab
2025-05-23,00:00,Iris Gold,Lover Of My Own
2025-05-23,00:00,Michael Jackson,Thriller
2025-05-23,00:00,"Michael Jackson, Vincent Price",Thriller
2025-05-23,00:00,Meghan Trainor,Criminals
2025-05-23,00:00,Thomas Helmig,Stupid Man
2025-05-23,00:00,Djämes Braun,Lytter ikk' til dem
2025-05-23,00:00,Madonna,Hung Up
2025-05-23,00:00,Alex,So Beautiful
2025-05-23,00:00,Marcus.wav,Det sker alt for tit
