Date,Time,Artist,Title
2025-05-23,08:25,UDE AF KONTROL / STEWART STARDUST,Mr. lummer
2025-05-23,08:28,TOPIC / ROBIN SCHULZ / NICO SANTOS / PAUL VAN DYK,In your arms (for an angel)
2025-05-23,08:34,VELLA,All my love
2025-05-23,08:37,EMIL STABIL,Allerede is
2025-05-23,08:40,AVAION / SOFIYA NZAU,Wacuka
2025-05-23,08:47,ROBIN SCHULZ / NERVO / KOPPY,Freaking you out
2025-05-23,08:50,URO,Bare en dreng
2025-05-23,08:57,HJALMER,Som at sove på hotel (Rasmus Skøtt remix)
2025-05-23,09:04,HELENE FISCHER,Wenn alles durchdreht
2025-05-23,09:15,DAVID GUETTA / SHOWTEK / VASSY,Bad
2025-05-23,09:20,ANKERSTJERNE / DANIEL SCHULZ / SIGVARDT,Dooh
2025-05-23,09:50,MILEY CYRUS,End of the world
2025-05-23,09:57,OMAR,Locked up
2025-05-23,10:02,LISA / DOJA CAT / RAYE,Born again (Purple Disco Machine remix)
2025-05-23,10:14,DERMOT KENNEDY,Kiss me
2025-05-23,10:19,APHACA,Smelter under månen
2025-05-23,10:47,DJ TQ,Hit mix vol.10
2025-05-23,10:50,KYGO / KYLA LA GRANGE,Cut your teeth (Kygo remix)
