Track,Repeats
Svea S - Det ønsker jeg for dig,3
Lord Siva - California Dreamin',3
"Tobias Rahim, Kabusa Oriental Choir - Regntid",2
ozzy - Mit ord,2
APHACA - En drøm om et menneske,2
"Anton Westerlin, Annika - Blodigt",2
"Benjamin Hav, Lukas Graham - Du ligner din mor",2
Marcus.wav - Det sker alt for tit,2
Blæst - Vi ku' gå hele vejen,2
The Minds Of 99 - Under din sne,1
APHACA - Smelter under månen,1
Tessa - Ben,1
Gilli - Kender ik' i morgen,1
Xander - Det burde ikk være sådan her,1
"Suspekt, URO - Tænker Ik På Andre",1
Blæst - Elsker dig så meget,1
Lamin - De her timer,1
"Kind Mod Kind, Medina - Love Isn't Easy",1
"Kesi, Gilli - Su Casa",1
APHACA - Et sted hvor vi de første,1
Twenty One Pilots - Heathens,1
Lukas Graham - Ordinary Things,1
Karla Korsbak - Hen til det,1
Ella Augusta - Baglæns,1
Scarlet Pleasure - Discoteca,1
PIND - Fri mand,1
Jada - Keep Cool,1
"Svea S, Burhan G - Det ønsker jeg for dig",1
Blæst - Sover du nu,1
Lord Siva - Solhverv,1
Pil - Når du går herfra (Nattely),1
Sivas - Sidste timer,1
Gilli - Rene Hjerter,1
SASO - I'm So Bored,1
Ariana Grande - we can't be friends (wait for your love),1
Jada - On Me,1
Karl William - Om igen,1
Citybois - Sig mig,1
"Natasja, Tessa, Karen Mukupa - Til banken",1
Medina - Det smukkeste,1
