Date,Time,Artist,Title
2025-05-23,09:00,Charlie Puth,We Don't Talk Anymore
2025-05-23,09:04,Mark Ambor,Belong Together
2025-05-23,09:07,Medina,Jalousi
2025-05-23,09:09,Berg,Koldblodet Killer
2025-05-23,09:14,Bruno Mars,Just the Way You Are
2025-05-23,09:16,Dos Santos,Folder Mine Hænder
2025-05-23,09:24,George Ezra,Shotgun
2025-05-23,09:27,Rihanna,Only Girl (In the World)
2025-05-23,09:32,Blæst,Vi Ku' Gå Hele Vejen
2025-05-23,09:35,Jason Derulo,Want to Want Me
2025-05-23,09:39,Dasha,Austin
2025-05-23,09:43,Aphaca,Smelter Under Månen
2025-05-23,09:46,Myles Smith,Nice to Meet You
2025-05-23,09:59,Infernal,From Paris to Berlin
2025-05-23,10:01,Ed Sheeran,Shape of You
2025-05-23,10:05,Sabrina Carpenter,Taste
2025-05-23,10:10,Maroon 5,Payphone
2025-05-23,10:13,Miley Cyrus,Flowers
2025-05-23,10:17,Bruno Mars/Lady Gaga,Die With a Smile
2025-05-23,10:26,Beyoncé,Crazy in Love
2025-05-23,10:30,Billie Eilish,BIRDS OF A FEATHER
2025-05-23,10:36,Justin Timberlake,Mirrors
2025-05-23,10:39,Dos Santos,Falder I
2025-05-23,10:43,P!nk,TRUSTFALL
