Artist,Date,Title
Lady Gaga ft. Colby O' Donis,2025-01-02,Just Dance
Drew Sycamore,2025-01-02,Take It Back
Eminem ft. Rihanna,2025-01-02,The Monster
Westlife,2025-01-02,When You're Looking Like That
Zedd and Grey ft. Maren Moris,2025-01-02,The Middle
Jonah Blacksmith,2025-01-02,House On Fire
Avril Lavigne,2025-01-03,Complicated
Zara Larsson and David Guetta,2025-01-03,On My Love
Ed Sheeran,2025-01-03,Shape Of You
Uro,2025-01-03,Min Bror
Mark Ambor,2025-01-03,Belong Together
eminem,2025-01-03,The Real Slim Shady
Dasha,2025-01-03,Not At This Party
Shaboozey,2025-01-03,A Bar Song
The Script,2025-01-03,The Man Who Can't Be Moved
Christopher,2025-01-03,Lose A You
Kygo and Ava Max,2025-01-03,Whatever
LeAnn Rimes,2025-01-03,Can't Fight The Moonlight
Drew Sycamore,2025-01-03,Another Lovesong
Flo Rida ft. Sia,2025-01-03,Wild Ones
Miley Cyrus,2025-01-03,End Of The World
Rema and Selena Gomez,2025-01-03,Calm Down
Imagine Dragons,2025-01-03,On Top Of The World
Myles Smith,2025-01-03,Nice To Meet You
Alex Warren ft. Ella Henderson,2025-01-03,Carry You Home
Westlife,2025-01-03,World Of Our Own
Billie Eilish,2025-01-03,Birds Of A Feather
Fergie,2025-01-03,Big Girls Don't Cry
Glass Animals,2025-01-03,Heat Waves
Dasha,2025-01-03,Austin
Drew Sycamore,2025-01-03,Lonely Heat
Noah Kahan,2025-01-03,Stick Season
Jubel ft. Neimy,2025-01-03,Dancing In The Moonlight
Jax Jones ft. MNEK,2025-01-03,Where Did You Go
Alex Warren,2025-01-03,Ordinary
The Weeknd,2025-01-03,Blinding Lights
Lost Frequencies,2025-01-03,Are You With Me
B.O.B. ft. Hayley Williams,2025-01-03,Airplanes
Benson Boone,2025-01-03,Beautiful Things
Rihanna,2025-01-03,Only Girl
Dua Lipa,2025-01-03,Houdini
The Weeknd,2025-01-03,Dancing In The Flames
Iyaz,2025-01-03,Replay
Teddy Swims,2025-01-03,The Door
Bruno Mars,2025-01-03,Just The Way You Are
OneRepublic,2025-01-03,Counting Stars
Jordin Sparks and Chris Brown,2025-01-03,No Air
Avicii vs. Nicki Romero,2025-01-03,I Could Be The One
Justin Timberlake,2025-01-03,Mirrors
Tobias Rahim ft. Andreas Odbjerg,2025-01-03,Stor Mand
Dermot Kennedy,2025-01-03,Outnumbered
Jonah Blacksmith,2025-01-03,Yellow Bike
Drew Sycamore,2025-01-03,Perfect Disaster
David Guetta ft. MistaJam ft. John Newman,2025-01-03,If You Really Love Me
Drew Sycamore,2025-01-03,Change The World
"Robin Schulz, Lilly Wood, The Prick",2025-01-03,Prayer In C
P!nk,2025-01-03,Never Gonna Not Dance Again
Mabel,2025-01-03,Don't Call Me Up
Joel Corry and MNEK,2025-01-03,Head & Heart
Calvin Harris ft. Rag'n'Bone Man,2025-01-03,Lovers In A Past Life
The Calling,2025-01-03,Wherever You Will Go
Loreen,2025-01-03,Euphoria
C21,2025-01-03,Stuck In My Heart
C21,2025-01-03,One of Us Is Lonely
Eric Prydz,2025-01-03,Call On Me
Selena Gomez ft. Marshmello,2025-01-03,Wolves
Calum Scott,2025-01-03,Dancing On My Own
Black Eyed Peas,2025-01-03,Where Is The Love
Christopher,2025-01-03,Fall So Hard
Lady Gaga ft. Colby O' Donis,2025-01-03,Just Dance
Drew Sycamore,2025-01-03,Take It Back
Eminem ft. Rihanna,2025-01-03,The Monster
"Coldplay, Little Simz, Burna Boy, Elyanna, Tini",2025-01-03,We Pray
Westlife,2025-01-03,When You're Looking Like That
Zedd and Grey ft. Maren Moris,2025-01-03,The Middle
Jonah Blacksmith,2025-01-03,House On Fire
Lewis Capaldi,2025-01-03,Someone You Loved
Avril Lavigne,2025-01-04,Complicated
Zara Larsson and David Guetta,2025-01-04,On My Love
Ed Sheeran,2025-01-04,Shape Of You
Uro,2025-01-04,Min Bror
Mark Ambor,2025-01-04,Belong Together
eminem,2025-01-04,The Real Slim Shady
Dasha,2025-01-04,Not At This Party
