Date,Time,Artist,Title
2025-05-23,08:03,Lose Control,Teddy Swims
2025-05-23,08:08,Crazy,Seal
2025-05-23,08:12,There's Nothing Holdin' Me Back,Shawn Mendes
2025-05-23,08:17,Died In Your Arms,Cutting Crew
2025-05-23,08:28,Austin,Dasha
2025-05-23,08:33,Cartoon Heroes,Aqua
2025-05-23,08:36,End Of The World,Miley Cyrus
2025-05-23,08:40,Truly Madly Deeply,Savage Garden
2025-05-23,08:47,Locked Out Of Heaven,Bruno Mars
2025-05-23,08:56,Halo,Beyoncé
2025-05-23,09:03,Stjernerne,Lord Siva
2025-05-23,09:10,Bad Craziness,D-A-D
2025-05-23,09:14,Sømand Af Verden,Dodo and The Dodos
2025-05-23,09:21,Where Are You Now,Lost Frequencies ft. Calum Scott
2025-05-23,09:25,Quit Playing Games,Backstreet Boys
2025-05-23,09:29,How You Remind Me,Nickelback
2025-05-23,09:33,Ordinary,Alex Warren
2025-05-23,09:40,Mine øjne de skal se,Lis Sørensen
2025-05-23,09:45,Drive By,Train
2025-05-23,09:49,Losing My Religion,R.E.M
2025-05-23,09:57,Caught In The Middle,A1
2025-05-23,10:04,Mindst Ondt,Malte Ebert ft. Svea S
2025-05-23,10:08,They Don't Care About Us,Michael Jackson
2025-05-23,10:11,You're Not There,Lukas Graham
2025-05-23,10:16,If I Could Turn Back Time,Cher
2025-05-23,10:22,Birds Of A Feather,Billie Eilish
2025-05-23,10:27,I Don't Want To Miss A Thing,Aerosmith
2025-05-23,10:30,Azizam,Ed Sheeran
2025-05-23,10:38,Run To You,Bryan Adams
2025-05-23,10:42,Love The Way You Lie,Eminem and Rihanna
