Track,Repeats,Stations,Station_Count
"Say My Name - Morgan Seatree, Florence The Machine",1,TheVoice,1
Scooter - How Much Is The Fish,1,PartyFM,1
Senza Una Donna - Zucchero and Paul Young,1,PopFM,1
Sex On Fire - Kings Of Leon,1,Radio100,1
"Shake It To The Max - MOLIY, Silent Addy, Skillibeng, Shenseea",1,TheVoice,1
Shape Of You - Ed Sheeran ft. Stormzy,1,TheVoice,1
Shattered Dreams - Johnny Hates Jazz,1,PopFM,1
Shaun Baker Vs. Seaside Clubbers - DUP DUP (Danceboy English ),1,PartyFM,1
Shawn Mendes - Mercy,1,NOVA,1
Shawn Mendes - Why Why Why,1,P4,1
Sheryl Crow - Soak Up The Sun,1,P4,1
"Show Me Love - WizTheMc, Tyla, bees and honey",1,TheVoice,1
Sira Jovina - Don't Go,1,P3,1
Sitting Down Here - Lene Marlin,1,Radio100,1
Slave To Love - Bryan Ferry,1,PopFM,1
So What - P!nk,1,Radio100,1
Somebody's Watching Me - Rockwell,1,PopFM,1
Someone Like You - Adele,1,Radio100,1
Sophie Ellis-Bextor - Murder On The Dancefloor,1,P4,1
Space Frog & The Grim Reaper - (X-Ray) Follow Me,1,PartyFM,1
Stardust - Music Sounds Better With You,1,SkalaFM,1
Stargazing - Myles Smith,1,TheVoice,1
Ste Ingham - Can You Feel It,1,PartyFM,1
Step By Step - New Kids On The Block,1,PopFM,1
Steve Aoki & Darren Criss - Crash Into Me,1,PartyFM,1
Stop Loving You - Toto,1,PopFM,1
Stromae - Alors On Danse,1,P4,1
Stuck With You - Huey Lewis and The News,1,PopFM,1
Suede - Beautiful Ones,1,P4,1
Swan Lee - How Forgiveness Goes,1,P4,1
Swan Lee - Tomorrow Never Dies,1,P4,1
Sweat - Inner Circle,1,Radio100,1
Swedish House Mafia - Save The World Tonight,1,PartyFM,1
Sweet But Psycho - Ava Max,1,Radio100,1
TAYLOR SWIFT - Wildest dreams,1,RadioGlobus,1
THE BLACK EYED PEAS - My humps,1,RadioGlobus,1
THE CALLING - Wherever you will go,1,RadioGlobus,1
THE SCRIPT - No good in goodbye,1,RadioGlobus,1
THE WANTED - Glad you came,1,RadioGlobus,1
TLC - No Scrubs,1,SkalaFM,1
TOM GRENNAN - Remind me,1,RadioGlobus,1
TOPIC / ROBIN SCHULZ / NICO SANTOS / PAUL VAN DYK - In your arms (for an angel),1,RadioGlobus,1
Taste - Sabrina Carpenter,1,TheVoice,1
Taylor Swift - The Man,1,NOVA,1
Teddy Swims - Lose Control,1,NOVA,1
Tegan & Sara - Feel It In My Bones Feat. Tiësto,1,PartyFM,1
Tell Her About It - Billy Joel,1,PopFM,1
Tell Me Where U Go - Clean Bandit ft. Tiesto ft. Leony,1,TheVoice,1
The Actor - Michael Learns to Rock,1,PopFM,1
The Best - Tina Turner,1,PopFM,1
The Calling - Wherever You Will Go,1,NOVA,1
The Cranberries - Ode To My Family,1,P4,1
The Day After Tomorrow - Saybia,1,Radio100,1
The Final Countdown - Europe,1,Radio100,1
The Kid LAROI - WITHOUT YOU,1,SkalaFM,1
The Kid LAROI ft. Justin Bieber - Stay,1,NOVA,1
The Living Years - Mike and the Mechanics,1,PopFM,1
The Magic Key - One-T,1,TheVoice,1
The Magician - Together (Lucas & Steve Remix),1,PartyFM,1
The Mysterious Girl - Like a Prayer,1,PartyFM,1
The Next Episode - Dr. Dre ft. Snoop Dogg,1,TheVoice,1
The Power Of Love - Huey Lewis and The News,1,PopFM,1
The Raveonettes - Last Dance,1,P4,1
The Reason - Hoobastank,1,Radio100,1
The Rumour Said Fire - The Balcony,1,P4,1
The Way You Make Me Feel - Michael Jackson,1,Radio100,1
The Way to Your Heart - Soulsister,1,PopFM,1
The Weekend - Chriz ft. Nadia Gattas,1,TheVoice,1
The Weeknd - Blinding Lights,1,NOVA,1
The Weeknd - Can't Feel My Face,1,P4,1
The Weeknd - Dancing in the Flames,1,SkalaFM,1
The Weeknd - In Your Eyes,1,SkalaFM,1
"The Weeknd, Daft Punk - Starboy",1,P3,1
There's Nothing Holdin' Me Back - Shawn Mendes,1,Radio100,1
Timbaland - SexyBack (feat. Timbaland),1,PartyFM,1
Timmy Trumpet & Dr Phunk & STVW - The Money,1,PartyFM,1
Timmy Trumpet - Dumb Feat. Charlott Boss,1,PartyFM,1
Timmy Trumpet - The King Feat. Vitas,1,PartyFM,1
Tina Dickow - Adams House,1,P4,1
Tom & Jame - What Goes Around,1,PartyFM,1
Tones and I - Dance Monkey,1,SkalaFM,1
Tones and I - Fly Away,1,NOVA,1
Train - Hey Soul Sister,1,P4,1
Turn Back Time - Aqua,1,Radio100,1
Twoloud - Traffic (Tiesto Edit),1,PartyFM,1
Tyla - Water,1,P3,1
USHER - Caught up,1,RadioGlobus,1
VANESSA CARLTON - A thousand miles,1,RadioGlobus,1
VELLA - All my love,1,RadioGlobus,1
Verde - Forever Feat. Siobhan (De-Grees mix),1,PartyFM,1
"We Pray - Coldplay, Little Simz, Burna Boy, Elyanna, Tini",1,TheVoice,1
We The Kings - Friday Is Forever,1,PartyFM,1
Weak In The Presence Of Beauty - Alison Moyet,1,PopFM,1
Weather With You - Crowded House,1,Radio100,1
Westlife - World Of Our Own,1,NOVA,1
What Is Love - Haddaway,1,Radio100,1
What Was That - Lorde,1,TheVoice,1
What's Love Got To Do With It - Tina Turner,1,PopFM,1
What's Luv? - Fat Joe ft. Ashanti,1,TheVoice,1
When You Say Nothing At All - Ronan Keating,1,Radio100,1
Where Are You Now - Lost Frequencies ft. Calum Scott,1,Radio100,1
Wherever You Will Go - The Calling,1,Radio100,1
Who's That Girl - Eve,1,TheVoice,1
Will Sparks - Ah Yeah So What Feat. Wiley & Elen Levon (SCNDL Remix),1,PartyFM,1
With Or Without You - U2,1,PopFM,1
Yeah! - Usher ft. Lil Jon and Ludacris,1,TheVoice,1
You Came - Kim Wilde,1,PopFM,1
You Spin Me Round - Dead Or Alive,1,PopFM,1
You'll Be In My Heart - Phil Collins,1,PopFM,1
You're Beautiful - James Blunt,1,Radio100,1
You're Not There - Lukas Graham,1,Radio100,1
You're The Voice - John Farnham,1,Radio100,1
Zombie - The Cranberries,1,Radio100,1
Zuloo - CHECK,1,P3,1
eminem - Houdini,1,NOVA,1
eminem - Lose Yourself,1,NOVA,1
