Track,Repeats,Stations,Station_Count
Basada - Turn Up the Love Feat Shana Pearson,1,PartyFM,1
Basshunter & Alien Cut - End The Lies,1,PartyFM,1
Bathsheba - Something About Her,1,SkalaFM,1
Be With You - Enrique Iglesias,1,Radio100,1
Beat It - Michael Jackson,1,PopFM,1
Benal - Nu her,1,P3,1
Beyoncé - Crazy in Love,1,SkalaFM,1
Beyoncé - Irreplaceable,1,P3,1
Beyoncé - Love On Top,1,P4,1
Beyoncé - TEXAS HOLD 'EM,1,SkalaFM,1
Billie Eilish - Birds Of A Feather,1,NOVA,1
Billy Boy - One Two,1,PopFM,1
Bingo Players Vs. Zak Noel Vs. White Stripes - Seven Loca Rattle (Djs From Mars Triplemash Club Mix),1,PartyFM,1
Birdy - Keeping Your Head Up (Topic Remix),1,PartyFM,1
Black Eyed Peas - Where Is The Love,1,NOVA,1
"Borgeous, Rvssian & M.R.I. - Ride It feat. Sean Paul (7 Skies & Sissa Remix)",1,PartyFM,1
Brimheim - Literally Everything,1,P3,1
Broken Strings - James Morrison and Nelly Furtado,1,Radio100,1
Brooklyn Bounce & Steve Modana - Bounce Attack (Back to the 90s) (Raindropz! Edit),1,PartyFM,1
Bruno Mars - Just The Way You Are,1,P4,1
Bruno Mars - Just the Way You Are,1,SkalaFM,1
Bruno Mars - Treasure,1,PartyFM,1
"Bryan Adams, Melanie C - When You're Gone",1,P4,1
C-BooL - House Baby (Verano Remix Edit),1,PartyFM,1
CAMILA CABELLO - Liar,1,RadioGlobus,1
CLEAN BANDIT / TIËSTO / LEONY - Tell me where u go,1,RadioGlobus,1
COLDPLAY - We pray,1,RadioGlobus,1
CRAIG DAVID - Don't love you no more,1,RadioGlobus,1
Calby - The Everyday Bit,1,P4,1
Camila Cabello/Shawn Mendes - Señorita,1,SkalaFM,1
Can't Feel My Face - The Weeknd,1,TheVoice,1
Can't Fight The Moonlight - LeAnn Rimes,1,Radio100,1
Can't Tame Her - Zara Larsson,1,Radio100,1
Cargo Vs. Ottomix & Phobia - Deep Raggasex (Aba & Simonsen Pornstar Booty Tool),1,PartyFM,1
Caribbean Queen - Billy Ocean,1,PopFM,1
Carly Rae Jepsen - Call Me Maybe,1,P4,1
Carry You Home - Alex Warren ft. Ella Henderson,1,Radio100,1
Cartoons - Little Red Ridinghood,1,PartyFM,1
Caught In The Middle - A1,1,Radio100,1
Charli XCX - Guess featuring Billie Eilish,1,PartyFM,1
Charlie Puth - We Don't Talk Anymore,1,SkalaFM,1
Chicago - If You Leave Me Now,1,P4,1
China In Your Hand - T'Pau,1,PopFM,1
Chriz ft. Nadia Gattas - The Weekend,1,NOVA,1
Chrizz Morisson/Timi Kullai - Bailando 2k19 (Dolls Euro Mix),1,PartyFM,1
Closer - Ne-Yo,1,TheVoice,1
Club Can't Handle Me - Flo Rida and David Guetta,1,TheVoice,1
Colbie Caillat - Bubbly,1,P4,1
Coldplay - Clocks,1,P3,1
Coldplay - feelslikeimfallinginlove,1,NOVA,1
Coldplay/BTS - My Universe,1,SkalaFM,1
Come On Eileen - Dexy's Midnight Runners,1,PopFM,1
Company - Thor Farlov,1,TheVoice,1
Counting Crows - Mr. Jones,1,P4,1
Crazy - Britney Spears,1,PopFM,1
Cruel Summer - Taylor Swift,1,TheVoice,1
Cut 'n' Move - Give It Up,1,SkalaFM,1
D.A.D. - Sleeping My Day Away,1,P4,1
DANIEL BEDINGFIELD - Wrap my words around you,1,RadioGlobus,1
DAVID GUETTA / ONE REPUBLIC - I don't wanna wait,1,RadioGlobus,1
DAVID GUETTA / SHOWTEK / VASSY - Bad,1,RadioGlobus,1
DAVID GUETTA / SIA - Beautiful people,1,RadioGlobus,1
DAYYANI - Nobody Kills Me Like You Do,1,P3,1
DERMOT KENNEDY - Kiss me,1,RadioGlobus,1
DIDO - Thank you,1,RadioGlobus,1
DISCIPLES - I got you,1,RadioGlobus,1
DJ Lenno - Shake Dat Ass Feat. Kadbury (Nick Skitz & Technoposse Remix Edit),1,PartyFM,1
DJ Snake/Justin Bieber - Let Me Love You,1,SkalaFM,1
DJ Tapestop - Downtown (Extended Mix),1,PartyFM,1
DJS FROM MARS - Avicii Tribute (MashUp Mix),1,RadioGlobus,1
DREW SYCAMORE - Another lovesong,1,RadioGlobus,1
DUA LIPA - Houdini,1,RadioGlobus,1
"Daft Punk - Harder, Better, Faster, Stronger (Raindropz! 2008 Bootleg Mix)",1,PartyFM,1
