Track,Repeats
Miley Cyrus - End Of The World,2
Saint clara - How I Love You,2
Ed Sheeran - Azizam,2
Kate Bush - Running Up That Hill (A Deal With God),1
Rasmus Walter - Heart Of Stone,1
Swan Lee - Tomorrow Never Dies,1
"Philip Bailey, Phil Collins - Easy Lover",1
Bruno Mars - Just The Way You Are,1
Depeche Mode - Policy Of Truth,1
Dasha - Not At This Party,1
Hugo Helmig - Please Don't Lie,1
Sabrina Carpenter - Busy Woman,1
Robbie Williams - Love My Life,1
Michael Jackson - Man In The Mirror,1
Alex Warren - Ordinary,1
Sophie Ellis-Bextor - Murder On The Dancefloor,1
Stromae - Alors On Danse,1
Beyoncé - Love On Top,1
The Cranberries - Ode To My Family,1
George Michael - Faith,1
Damiano David - Born With A Broken Heart,1
Suede - Beautiful Ones,1
"Marshmello, P!nk, Sting - Dreaming",1
Drew Sycamore - Change The World,1
Taylor Swift - Anti-Hero,1
The Weeknd - Can't Feel My Face,1
The Rumour Said Fire - The Balcony,1
Train - Hey Soul Sister,1
Lady Gaga - Abracadabra,1
Chicago - If You Leave Me Now,1
Nabiha - Mind The Gap,1
Tina Dickow - Adams House,1
Sheryl Crow - Soak Up The Sun,1
Sabrina Carpenter - Espresso,1
All Saints - Pure Shores,1
Kings Of Leon - Sex On Fire,1
Kwamie Liv - New Boo,1
Harry Styles - Late Night Talking,1
Marie Frank - Symptom Of My Time,1
Roxette - It Must Have Been Love,1
Calby - The Everyday Bit,1
Carly Rae Jepsen - Call Me Maybe,1
Shawn Mendes - Why Why Why,1
Panic! At The Disco - High Hopes,1
D.A.D. - Sleeping My Day Away,1
Counting Crows - Mr. Jones,1
John Mayer - Your Body Is A Wonderland,1
Lucky Lo - Yes To Myself,1
Justin Timberlake - Can't Stop The Feeling,1
Amy Winehouse - Rehab,1
Iris Gold - Lover Of My Own,1
Michael Jackson - Thriller,1
"Michael Jackson, Vincent Price - Thriller",1
Alex - So Beautiful,1
Alabama Shakes - Hold On,1
Colbie Caillat - Bubbly,1
Erasure - A Little Respect,1
Swan Lee - How Forgiveness Goes,1
"Bryan Adams, Melanie C - When You're Gone",1
The Raveonettes - Last Dance,1
Jacob Dinesen - Take Her Away,1
"Maroon 5, LISA - Priceless",1
Rihanna - Love On The Brain,1
