Date,Time,Artist,Title
2025-05-23,07:56,7 Days,Craig David
2025-05-23,08:00,I'm Sprung,T-pain
2025-05-23,08:04,Freek'n You,Jodeci
2025-05-23,08:08,Love In This Club,Usher ft. Young Jeezy
2025-05-23,08:12,From The Heart,Another Level
2025-05-23,08:16,You Don't Know My Name,Alicia Keys
2025-05-23,08:21,Rain,Swv
2025-05-23,08:27,Beautiful,Snoop Dogg ft. Pharell Williams
2025-05-23,08:31,Don't Let Go,En Vogue
2025-05-23,08:35,Hey Ma,Cam'ron
2025-05-23,08:40,Waterfalls,TLC
2025-05-23,08:43,Hot In Here,Nelly
2025-05-23,08:46,I Know What You Want,Busta Rhymes and Mariah Carey
2025-05-23,08:50,Trick Me,Kelis
2025-05-23,08:54,Candy Rain,Soul For Real
2025-05-23,08:57,Real Love,Mary J. Blige
2025-05-23,09:02,Cry Me A River,Justin Timberlake
2025-05-23,09:06,"Bills, Bills, Bills",Destiny's Child
2025-05-23,09:10,"1, 2 Step",Ciara ft. Missy Elliott
2025-05-23,09:14,Love Shoulda Brought You Home,Toni Braxton
2025-05-23,09:17,Yo,Chris Brown
2025-05-23,09:22,Try Again,Aaliyah
2025-05-23,09:26,Hit 'Em Up Style,Blu Cantrell
2025-05-23,09:29,That's The Way Love Goes,Janet Jackson
2025-05-23,09:33,Take A Bow,Rihanna
2025-05-23,09:37,End Of The Road,Boyz ll Men
2025-05-23,09:41,Jenny From The Block,Jennifer Lopez
2025-05-23,09:44,Ready Or Not,Fugees
2025-05-23,09:47,Another Day In Paradise,Brandy and Ray J
2025-05-23,09:51,Love Like This,Faith Evans
2025-05-23,09:55,Never Knew Love Like This,Alexander O'Neal and Cherrelle
2025-05-23,10:00,Always On Time,Ja Rule ft. Ashanti
2025-05-23,10:05,Heartbreaker,Mariah Carey ft. Jay-Z
2025-05-23,10:09,My Boo,Usher ft. Alicia Keys
2025-05-23,10:13,Wifey,Next
2025-05-23,10:17,Miss Independent,Ne-Yo
2025-05-23,10:21,You Got Me,The Roots ft. Erykah Badu and Eve
2025-05-23,10:25,No Letting Go,Wayne Wonder
2025-05-23,10:29,Say My Name,Destiny's Child
2025-05-23,10:32,Glamorous,Fergie ft. Ludacris
2025-05-23,10:37,Don't Walk Away,Jade
